SB 1 	SB 	Nelson 	General Appropriations Bill. 	['State Finances--Appropriations (I0746)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB1 	['none']
SB 57 	SB 	Zaffirini 	Relating to the use of a wireless communication device by a state officer or employee while operating a motor vehicle. 	['State Employees (I0626),State Officers (I0761),Vehicles & Traffic--Rules of Road (I0860),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),TELEPHONES & TELEPHONE DIRECTORIES (S5657)'] 	01/24/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB57 	['none']
SB 58 	SB 	Zaffirini 	Relating to notification requirements applicable to certain state contracts. 	['Purchasing--State (I0643),State Agencies Boards & Commissions (I0749),LEGISLATIVE BUDGET BOARD (V0161)'] 	01/24/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB58 	['none']
SB 59 	SB 	Zaffirini 	Relating to energy and water management planning and reporting requirements for state agencies and institutions of higher education. 	['Education--Higher--Institutions & Programs (I0223),Energy--General (I0315),State Agencies Boards & Commissions (I0749),Utilities--Electric (I0831),Utilities--Water & Sewer (I0002),STATE ENERGY CONSERVATION OFFICE (V0110)'] 	01/24/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB59 	['none']
SB 60 	SB 	Zaffirini 	Relating to the preference given by state and local governmental entities including public institutions of higher education to agricultural products produced processed or grown in this state. 	['Agriculture (I0020),Education--Higher--Institutions & Programs (I0223),Education--School Districts (I0220),Purchasing--Local (I0644),Purchasing--State (I0643),FACILITIES COMMISSION TEXAS (V0780)'] 	01/24/2017 	Referred to Agriculture Water &  Rural Affairs 	Senate 	Agriculture Water & Rural Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB60 	['none']
SB 61 	SB 	Zaffirini 	Relating to public school accountability for bilingual education and English as a second language and other special language programs. 	['Education--Bilingual (I0213),Education--Primary & Secondary--Accountability (I0007),Education--Primary & Secondary--Charter Schools (I0245),Education--School Districts (I0220),ENGLISH LANGUAGE (S0168),EDUCATION AGENCY TEXAS (V9941),EDUCATION COMMISSIONER OF (V9954)'] 	01/24/2017 	Referred to Education 	Senate 	Education 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB61 	['HB 184', 'filler']
SB 62 	SB 	Zaffirini 	Relating to erecting certain signs on private property before an election. 	['Elections--Candidates (I0280),Elections--Early Voting (I0260),SIGNS (S0235)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB62 	['none']
SB 63 	SB 	Zaffirini 	Relating to the electronic filing of reports of political contributions and expenditures and of personal financial statements by certain officeholders and candidates and the content of those statements; creating a criminal offense. 	['Elections--Campaign Financing (I0290),Elections--Candidates (I0280),Electronic Information Systems (I0311),Ethics (I0345),State Officers (I0761),COMPUTERS & SOFTWARE (S2425),POLITICAL CONTRIBUTIONS (S0114),ETHICS COMMISSION TEXAS (V9939)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB63 	['none']
SB 64 	SB 	Zaffirini 	Relating to recording of minutes for a local canvassing authority. 	['Elections--Administration (I0277),Elections--General (I0310)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB64 	['HB 1001', 'filler']
SB 65 	SB 	Zaffirini 	Relating to the regulation of funeral services funeral homes cemeteries and crematories; imposing penalties. 	['Cemeteries (I0054),Health--General (I0385),Occupational Regulation--Other Trades & Professions (I0541),CREMATORIES & CREMATION (S0553),ATTORNEY GENERAL (V2811),FUNERAL SERVICE COMMISSION TEXAS (V0004)'] 	01/24/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB65 	['none']
SB 66 	SB 	Zaffirini 	Relating to an exemption from the motor vehicle sales and use tax for certain military servicemembers serving on active duty. 	['Military & Veterans (I0535),Taxation--Sales (I0800),Vehicles & Traffic--General (I0865)'] 	01/24/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB66 	['HB 4071', 'filler']
SB 67 	SB 	Zaffirini 	Relating to the use of a wireless communication device while operating a motor vehicle; creating a criminal offense. 	['Vehicles & Traffic--Rules of Road (I0860),ALEX BROWN MEMORIAL ACT (P0592),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),SIGNS (S0235),TELEPHONES & TELEPHONE DIRECTORIES (S5657),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB67 	['none']
SB 68 	SB 	Zaffirini 	Relating to the eligibility for service retirement annuities from the Employees Retirement System of Texas of certain elected officials convicted of certain offenses. 	['Crimes--Miscellaneous (I0200),Ethics (I0345),Legislature (I0520),Retirement Systems--State Employees (I0727),State Officers (I0761),EMPLOYEES RETIREMENT SYSTEM OF TEXAS (ERS) (V0471)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB68 	['HB 422', 'filler']
SB 69 	SB 	Zaffirini 	Relating to civil or criminal liability for leaving certain animals unattended in or removing certain individuals or animals from a motor vehicle. 	['Animals (I0035),Civil Remedies & Liabilities (I0065),Crimes--Miscellaneous (I0200),Minors--Health & Safety (I0533),Vehicles & Traffic--General (I0865)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB69 	['HB 401', 'filler']
SB 70 	SB 	Zaffirini 	Relating to the required earnings statement provided by employers. 	['Labor--Wages (I0485)'] 	01/24/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB70 	['none']
SB 71 	SB 	Zaffirini 	Relating to the transfer of certain state real property to the City of San Marcos. 	['SAN MARCOS CITY OF (G0141),City Government--General (I0060),Property Interests--Real Property (I0595),Public Lands Buildings & Resources (I0630)'] 	01/24/2017 	Referred to Natural Resources & Economic Development 	Senate 	Natural Resources & Economic Development 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB71 	['none']
SB 72 	SB 	Nelson 	Relating to the decrease of the rates of the franchise tax under certain circumstances and the expiration of that tax. 	['Taxation--Franchise (I0807),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	01/24/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB72 	['none']
SB 73 	SB 	Nelson 	Relating to leave policy and procedures for state employees. 	['Electronic Information Systems (I0311),State Agencies Boards & Commissions (I0749),State Agencies Boards & Commissions--Admin. Procedure (I0763),State Employees (I0626),EMPLOYEE BENEFITS & LEAVE (S0452),COMPTROLLER OF PUBLIC ACCOUNTS (V2608)'] 	03/06/2017 	Committee report printed and distributed: Mar  6 2017  3:15PM  	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB73 	['HB 360', 'filler']
SB 74 	SB 	Nelson 	Relating to the provision of certain behavioral health services to children adolescents and their families under a contract with a managed care organization. 	['Family--Child Protection (I0351),Health Care Providers (I0387),Human Services--Child Services (I0895),Insurance--Health & Accident (I0422),Mental Health & Substance Abuse (I0019),MANAGED CARE (S0454),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	03/20/2017 	Considered in public hearing 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB74 	['HB 1758', 'filler']
SB 75 	SB 	Nelson 	Relating to the requirement for parental consent for a minor to join a labor union. 	['Labor--General (I0500),Minors--General (I0537),LABOR UNIONS (S0078),PARENTAL CONSENT (S0318),WORKFORCE COMMISSION TEXAS (V0470)'] 	03/14/2017 	Committee report printed and distributed: Mar 14 2017 12:13PM  	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB75 	['HB 1987', 'filler']
SB 76 	SB 	Nelson 	Relating to the authority of general-law municipalities to restrict sex offenders from child safety zones in the municipality. 	['City Government--General (I0060),Crimes--Against Persons--Sexual (I0171),Minors--Crimes Against (I0532),CHILD SAFETY ZONES (S0282),SEXUAL OFFENDERS (S0099)'] 	01/24/2017 	Referred to Criminal Justice 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB76 	['HB 207', 'HB 387', 'HB 848', 'HB 1339', 'SB 197', 'filler']
SB 77 	SB 	Nelson 	Relating to involuntary termination of parental rights based on sexual assault of the child's other parent and the child support obligations of the parent whose rights were terminated. 	['Crimes--Against Persons--Sexual (I0171),Family--Child Support (I0352),Family--Parent & Child (I0355),PARENTAL RIGHTS (S0095),SEXUAL ASSAULT (S4375)'] 	03/14/2017 	Committee report printed and distributed: Mar 14 2017  3:12PM  	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB77 	['HB 1766', 'HB 1812', 'filler']
SB 78 	SB 	Nelson 	Relating to the disposition of certain state surplus or salvage data processing equipment. 	['State Agencies Boards & Commissions (I0749),FOSTER CARE (S0064),SURPLUS PROPERTY (S0313)'] 	03/21/2017 	Considered in public hearing 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB78 	['HB 1883', 'filler']
SB 79 	SB 	Nelson 	Relating to the production of public information available on a publicly accessible website. 	['Business & Commerce--Copyright Patents & Trademarks (I0004),Electronic Information Systems (I0311),Open Meetings (I0546),Open Records (I0548),Utilities--General (I0830),EMAIL & ELECTRONIC COMMUNICATIONS (S0321),INTERNET (S0130)'] 	03/15/2017 	Committee report printed and distributed: Mar 15 2017  3:14PM  	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB79 	['none']
SB 80 	SB 	Nelson 	Relating to certain required reports prepared by state agencies and other governmental entities. 	['State Agencies Boards & Commissions (I0749),AUDITOR STATE (V4364),HEALTH & HUMAN SERVICES COMMISSION (V0177)'] 	03/20/2017 	Committee report printed and distributed: Mar 20 2017  2:09PM  	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB80 	['HB 1885', 'filler']
SB 81 	SB 	Nelson 	Relating to the operations of the Cancer Prevention and Research Institute of Texas. 	['Health--Other Diseases & Medical Conditions (I0383),State Agencies Boards & Commissions (I0749),State Finances--Management & Control (I0748),CANCER (S0658),CANCER PREVENTION & RESEARCH INSTITUTE OF TEXAS (V0778)'] 	01/24/2017 	Referred to Health & Human Services 	Senate 	Health & Human Services 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB81 	['HB 63', 'filler']
SB 82 	SB 	Nelson 	Relating to prohibiting the temporary closure of segments of the state highway system on days that certain scheduled events are being held. 	['City Government--Roads (I0066),Highways (I0390),CONTRACTORS & SUBCONTRACTORS (S2563)'] 	03/22/2017 	Scheduled for public hearing on  . . . 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB82 	['HB 1031', 'filler']
SB 83 	SB 	Hall 	Relating to protection of energy critical infrastructure from electromagnetic geomagnetic terrorist and cyber-attack threats. 	['Utilities--Electric (I0831),Utilities--General (I0830),ELECTRIC GRID SECURITY ADVISORY COMMITTEE (V1068),PUBLIC UTILITY COMMISSION (V0023)'] 	01/24/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB83 	['none']
SB 84 	SB 	Hall 	Relating to a pilot project for financing certain Texas Department of Transportation projects. 	['Highways (I0390),BONDS (S6060),DESIGN-BUILD CONTRACTS (S0457),COMPTROLLER OF PUBLIC ACCOUNTS (V2608),TRANSPORTATION TEXAS DEPARTMENT OF (V8796)'] 	02/06/2017 	Referred to Finance 	Senate 	Finance 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB84 	['none']
SB 85 	SB 	Hall 	Relating to the verification of employment authorization by state contractors and state grant recipients including the use of the federal E-verify program and to authorization for the suspension of certain licenses held by private employers for the knowing employment of persons not lawfully present in this state; authorizing a fee. 	['Aliens (I0032),Labor--General (I0500),Labor--Management Relations (I0465),Purchasing--State (I0643),CONTRACTORS & SUBCONTRACTORS (S2563),WORKFORCE COMMISSION TEXAS (V0470)'] 	01/24/2017 	Referred to Business & Commerce 	Senate 	Business & Commerce 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB85 	['none']
SB 86 	SB 	Hall 	Relating to the liability of a property owner who allows handguns to be carried on the owner's property. 	['Business & Commerce--General (I0050),Civil Remedies & Liabilities (I0065),Weapons (I0887)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB86 	['none']
SB 87 	SB 	Hall 	Relating to registration of a motor vehicle alleged to have been involved in a violation detected by a photographic traffic signal enforcement system. 	['Vehicles & Traffic--Vehicle Registration (I0845),PHOTOGRAPHIC TRAFFIC SIGNALS (S0439)'] 	03/21/2017 	Placed on intent calendar 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB87 	['HB 121', 'filler']
SB 88 	SB 	Hall 	Relating to the use of photographic traffic signal enforcement systems. 	['Fees & Other Nontax Revenue--Local (I0361),Vehicles & Traffic--General (I0865),Vehicles & Traffic--Rules of Road (I0860),PHOTOGRAPHIC TRAFFIC SIGNALS (S0439)'] 	03/21/2017 	Placed on intent calendar 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB88 	['HB 808', 'filler']
SB 89 	SB 	Hall 	Relating to the execution or enforcement of federal laws that violate the Bill of Rights of the Texas Constitution. 	['Legislature (I0520),Political Subdivisions (I0588),State Agencies Boards & Commissions (I0749),State Employees (I0626)'] 	01/24/2017 	Referred to State Affairs 	Senate 	State Affairs 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB89 	['none']
SB 90 	SB 	Hall 	Relating to the repeal of the driver responsibility program. 	["Fees & Other Nontax Revenue--State (I0362),Vehicles & Traffic--Driver's Licenses (I0840),Vehicles & Traffic--Rules of Road (I0860),DRIVER EDUCATION & SAFETY CLASSES (S1059),STATE HEALTH SERVICES DEPARTMENT OF (V0463)"] 	01/24/2017 	Referred to Transportation 	Senate 	Transportation 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB90 	['HB 67', 'HB 275', 'filler']
SB 91 	SB 	Hall 	Relating to the use of automatic license plate readers by a law enforcement agency. 	['Crimes--Miscellaneous (I0200),Law Enforcement (I0510),Vehicles & Traffic--General (I0865),LICENSE PLATES (S9823),PUBLIC SAFETY DEPARTMENT OF (V0251)'] 	03/21/2017 	Scheduled for public hearing on  . . . 	Senate 	Criminal Justice 	unassigned 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=SB91 	['none']
